distributor_id,date,pos_code,units,amount
D001,2026-01-18,P000021,1273.23,11766.83
D001,2026-02-23,P000021,395.86,7260.43
D001,2026-04-05,P000021,267.38,6119.68
D001,2026-05-18,P000021,429.8,10445.62
D001,2026-06-26,P000021,770.84,13942.08
D001,2025-12-15,P000022,779.79,10421.25
D001,2026-01-04,P000022,585.84,8121.33
D001,2026-02-02,P000022,695.25,10668.92
D001,2026-04-04,P000022,715.99,8125.48
D001,2026-05-18,P000022,1461.32,13051.26
D001,2026-06-04,P000022,879.3,8339.94
D001,2025-11-06,P000023,1307.57,18731.33
D001,2025-12-02,P000023,681.49,16926.5
D001,2026-03-01,P000023,2873.16,38789.76
D001,2026-04-07,P000023,1065.57,16734.01
D001,2026-05-08,P000023,1105.36,22299.18
D001,2025-11-10,P000024,101.38,1664.69
D001,2025-12-08,P000024,135.54,2495.05
D001,2026-01-08,P000024,346.34,3023.88
D001,2026-02-22,P000024,269.76,3307.34
D001,2026-03-13,P000024,134.33,1580.88
D001,2026-04-20,P000024,80.68,1883.15
D001,2026-06-22,P000024,181.26,2929.25
D001,2025-11-06,P000025,2500.15,47218.79
D001,2025-12-15,P000025,2599.06,34636.49
D001,2026-01-25,P000025,1465.9,32200.7
D001,2026-02-12,P000025,1361.93,32303.62
D001,2026-03-10,P000025,2647.4,32047.63
D001,2026-04-08,P000025,540.57,13051.17
D001,2026-05-18,P000025,1697.64,26527.55
D001,2026-06-23,P000025,1560.14,37768.12
D001,2025-11-21,P000026,276.49,5519.41
D001,2025-12-05,P000026,195.03,4176.63
D001,2026-01-24,P000026,506.21,11881.41
D001,2026-02-05,P000026,480.25,7268.15
D001,2026-03-12,P000026,579.39,8639.99
D001,2026-04-18,P000026,380.87,5965.14
D001,2026-05-03,P000026,436.6,8905.54
D001,2026-06-09,P000026,316.09,5426.56
D001,2025-11-21,P000027,3738.9,36327.8
D001,2025-12-21,P000027,2427.21,28465.45
D001,2026-01-10,P000027,2657.84,49357.54
D001,2026-03-19,P000027,2971.4,52044.96
D001,2026-04-26,P000027,5254.55,50565.65
D001,2026-05-20,P000027,2851.87,47956.65
D001,2026-06-17,P000027,2788.99,58858.15
D001,2025-11-14,P000028,759.2,17239.94
D001,2025-12-15,P000028,854.76,20657.54
D001,2026-02-22,P000028,1736.31,18393.76
D001,2026-03-14,P000028,1588.08,34260.27
D001,2026-04-25,P000028,1894.24,28917.96
D001,2026-05-04,P000028,3579.49,29875.35
D001,2025-11-14,P000029,279.91,4756.39
D001,2025-12-12,P000029,317.22,5096.12
D001,2026-01-07,P000029,272.23,4191.38
D001,2026-02-20,P000029,392.61,6304.41
D001,2026-03-16,P000029,583.4,5372.26
D001,2026-04-18,P000029,240.24,4061.05
D001,2026-06-08,P000029,397.63,4863.39
D001,2025-11-24,P000030,101.93,1611.73
D001,2025-12-26,P000030,28.14,366.3
D001,2026-01-16,P000030,77.94,1434.11
D001,2026-02-27,P000030,74.0,1504.9
D001,2026-03-14,P000030,78.7,1277.51
D001,2026-04-25,P000030,277.28,2849.51
D001,2026-05-12,P000030,116.42,1091.25
D001,2026-06-20,P000030,165.29,2108.5
D001,2025-11-25,P000031,587.93,6452.57
D001,2025-12-03,P000031,772.16,7566.24
D001,2026-01-07,P000031,425.76,8842.31
D001,2026-02-06,P000031,432.98,4954.23
D001,2026-03-08,P000031,320.79,5016.88
D001,2026-04-04,P000031,244.95,4787.05
D001,2026-05-13,P000031,218.8,4296.5
D001,2026-06-05,P000031,754.65,7997.69
D001,2025-12-12,P000032,262.76,4588.57
D001,2026-02-07,P000032,398.8,8430.94
D001,2026-03-22,P000032,447.57,6504.66
D001,2026-04-24,P000032,303.53,6468.54
D001,2026-05-15,P000032,160.23,2667.71
D001,2026-06-20,P000032,342.41,2860.3
D001,2025-11-05,P000033,405.44,4276.28
D001,2025-12-06,P000033,870.38,8008.4
D001,2026-01-26,P000033,141.47,3431.49
D001,2026-04-08,P000033,191.47,3764.16
D001,2026-05-15,P000033,300.85,6577.74
D001,2026-06-22,P000033,195.71,4435.13
D001,2025-11-25,P000034,287.16,6479.65
D001,2025-12-08,P000034,429.11,6025.17
D001,2026-01-26,P000034,251.02,5834.21
D001,2026-03-05,P000034,526.86,9631.32
D001,2026-04-21,P000034,744.34,6902.8
D001,2026-05-16,P000034,410.32,6385.48
D001,2026-06-23,P000034,327.32,6447.28
D001,2025-12-13,P000035,2517.04,25511.79
D001,2026-01-01,P000035,1540.99,36952.6
D001,2026-02-17,P000035,2600.8,32239.65
D001,2026-03-12,P000035,1514.42,28069.07
D001,2026-04-26,P000035,2841.28,41903.83
D001,2026-05-19,P000035,1736.17,32145.42
D001,2026-06-02,P000035,3457.85,31119.34
D001,2025-11-18,P000036,3707.8,36077.1
D001,2025-12-26,P000036,1811.03,40357.4
D001,2026-01-22,P000036,3574.7,30113.66
D001,2026-02-14,P000036,2830.42,28639.22
D001,2026-03-10,P000036,1036.14,21151.33
D001,2026-04-26,P000036,1672.0,28144.74
D001,2026-05-19,P000036,2514.13,23034.28
D001,2026-06-18,P000036,1644.04,32480.39
D001,2025-11-20,P000037,322.54,6647.18
D001,2025-12-07,P000037,612.8,15099.21
D001,2026-01-22,P000037,629.96,10130.16
D001,2026-02-16,P000037,822.76,10554.43
D001,2026-03-26,P000037,1212.76,13116.91
D001,2026-04-16,P000037,1905.16,21564.75
D001,2026-06-09,P000037,958.67,12886.22
D001,2025-11-07,P000038,2002.0,26336.74
D001,2025-12-15,P000038,1790.49,32038.98
D001,2026-01-06,P000038,1250.21,23888.63
D001,2026-02-12,P000038,1421.62,15731.41
D001,2026-03-21,P000038,908.08,19583.73
D001,2026-04-21,P000038,1585.87,20050.57
D001,2026-05-13,P000038,1213.66,17458.87
D001,2025-11-07,P000039,127.29,2624.99
D001,2025-12-05,P000039,293.24,2415.54
D001,2026-01-18,P000039,178.0,2346.83
D001,2026-02-05,P000039,251.69,4547.49
D001,2026-03-04,P000039,127.04,1314.56
D001,2026-04-07,P000039,134.23,3132.04
D001,2026-05-01,P000039,62.82,1117.45
D001,2026-06-16,P000039,238.92,3115.21
D001,2025-11-19,P000040,256.94,5890.23
D001,2025-12-25,P000040,633.0,9167.67
D001,2026-01-04,P000040,683.84,5706.25
D001,2026-03-23,P000040,466.99,7927.48
D001,2026-04-09,P000040,392.79,7042.29
D001,2026-05-02,P000040,571.13,8595.93
D001,2026-06-24,P000040,991.62,10881.62
D001,2025-11-05,P000041,1029.63,12358.69
D001,2026-01-26,P000041,3963.82,34439.58
D001,2026-02-14,P000041,1965.76,23674.06
D001,2026-03-24,P000041,770.78,12183.2
D001,2026-04-18,P000041,953.81,21647.41
D001,2026-05-21,P000041,4142.53,41034.64
D001,2026-06-08,P000041,1463.45,32865.11
D001,2025-11-27,P000042,478.05,6730.58
D001,2025-12-13,P000042,197.02,4157.04
D001,2026-01-22,P000042,296.77,5492.33
D001,2026-02-13,P000042,366.05,5490.08
D001,2026-03-21,P000042,462.26,6223.8
D001,2026-04-16,P000042,622.9,6275.21
D001,2026-05-24,P000042,399.37,6122.67
D001,2026-06-09,P000042,500.14,4721.89
D001,2025-11-01,P000043,554.89,11356.81
D001,2025-12-16,P000043,532.78,6385.0
D001,2026-01-17,P000043,633.42,8482.14
D001,2026-02-18,P000043,833.11,7940.36
D001,2026-03-25,P000043,631.62,8983.98
D001,2026-04-02,P000043,613.18,10049.35
D001,2026-05-06,P000043,359.91,8875.48
D001,2026-06-07,P000043,903.89,8314.27
D001,2025-11-05,P000044,8480.97,103946.24
D001,2025-12-21,P000044,5189.76,43678.13
D001,2026-01-01,P000044,10508.89,127416.44
D001,2026-02-08,P000044,4048.57,77853.67
D001,2026-03-25,P000044,5573.13,97050.3
D001,2026-04-16,P000044,6773.8,72931.75
D001,2026-05-09,P000044,4915.56,55255.41
D001,2026-06-23,P000044,9985.27,92669.54
D001,2025-11-19,P000045,2492.74,61524.57
D001,2025-12-19,P000045,3057.14,71893.42
D001,2026-01-24,P000045,6173.6,74099.82
D001,2026-02-14,P000045,7086.29,82149.8
D001,2026-04-01,P000045,4162.04,56748.91
D001,2026-05-11,P000045,2517.22,62356.7
D001,2026-06-26,P000045,4593.76,61883.01
D001,2025-11-24,P000046,207.15,4700.4
D001,2025-12-22,P000046,260.5,4152.18
D001,2026-01-09,P000046,325.86,5649.83
D001,2026-02-18,P000046,524.42,6115.24
D001,2026-03-26,P000046,551.49,5436.33
D001,2026-04-13,P000046,539.76,7354.58
D001,2026-05-06,P000046,390.07,6086.02
D001,2026-06-26,P000046,290.7,5530.48
D001,2025-11-02,P000047,672.79,7909.23
D001,2025-12-12,P000047,452.16,7259.06
D001,2026-01-02,P000047,205.84,4860.5
D001,2026-02-06,P000047,495.52,7870.37
D001,2026-03-23,P000047,723.85,7322.2
D001,2026-04-03,P000047,434.38,9988.75
D001,2026-05-03,P000047,294.8,5797.01
D001,2025-11-18,P000048,280.44,4191.12
D001,2025-12-22,P000048,341.7,4513.92
D001,2026-01-19,P000048,183.37,3524.75
D001,2026-02-04,P000048,427.75,3985.91
D001,2026-05-21,P000048,178.58,3666.47
D001,2026-06-27,P000048,263.42,4136.26
D001,2025-11-12,P000049,1887.76,22950.6
D001,2026-01-20,P000049,2632.06,38963.95
D001,2026-02-13,P000049,1351.35,28631.44
D001,2026-03-27,P000049,1068.22,15330.11
D001,2026-04-14,P000049,4161.74,39410.06
D001,2026-05-12,P000049,2094.79,38548.73
D001,2025-11-02,P000050,2065.06,37246.05
D001,2025-12-14,P000050,1609.85,27741.21
D001,2026-01-21,P000050,1764.9,16224.19
D001,2026-02-10,P000050,1337.64,24462.78
D001,2026-03-04,P000050,806.74,19018.19
D001,2026-04-10,P000050,803.5,16617.33
D001,2026-05-08,P000050,1552.34,15881.17
D001,2026-06-18,P000050,1736.04,36882.73
D001,2025-11-16,P000051,1512.67,23497.86
D001,2026-01-17,P000051,1130.25,19221.67
D001,2026-02-06,P000051,71.33,1691.32
D001,2026-03-15,P000051,4750.91,43274.48
D001,2026-05-23,P000051,1239.67,29347.15
D001,2026-06-14,P000051,1627.12,31240.56
D001,2025-11-08,P000052,3870.28,73339.69
D001,2025-12-11,P000052,5935.18,48092.66
D001,2026-01-21,P000052,4959.64,46584.14
D001,2026-02-08,P000052,2061.92,51465.58
D001,2026-04-05,P000052,3538.59,80525.13
D001,2026-05-09,P000052,3209.11,63018.53
D001,2026-06-26,P000052,5368.04,67969.68
D001,2025-11-26,P000053,138.59,2237.69
D001,2025-12-05,P000053,208.1,3210.31
D001,2026-01-06,P000053,112.27,2453.26
D001,2026-02-13,P000053,161.99,2933.7
D001,2026-03-12,P000053,171.84,3364.01
D001,2026-04-01,P000053,226.06,3453.45
D001,2026-05-01,P000053,181.71,3123.46
D001,2026-06-13,P000053,112.21,1421.59
D001,2025-11-18,P000054,403.8,4458.63
D001,2025-12-05,P000054,239.48,5616.38
D001,2026-01-17,P000054,199.57,4107.68
D001,2026-02-11,P000054,480.35,4444.56
D001,2026-03-01,P000054,158.02,3625.26
D001,2026-04-08,P000054,349.7,5348.48
D001,2026-05-11,P000054,285.35,5464.62
D001,2026-06-10,P000054,397.55,4543.5
D001,2025-11-20,P000055,2600.6,62785.58
D001,2025-12-15,P000055,9627.55,80827.4
D001,2026-01-08,P000055,6347.8,80074.17
D001,2026-02-17,P000055,10093.95,100531.71
D001,2026-03-08,P000055,5495.34,103316.15
D001,2026-04-07,P000055,2361.86,46835.6
D001,2026-05-16,P000055,8751.1,103020.63
D001,2026-06-17,P000055,6094.24,86409.94
D001,2025-11-05,P000056,493.2,11154.93
D001,2025-12-23,P000056,279.12,5530.91
D001,2026-02-11,P000056,581.32,9019.64
D001,2026-03-02,P000056,754.27,12200.69
D001,2026-04-06,P000056,472.32,10140.97
D001,2026-05-24,P000056,676.75,7483.53
D001,2026-06-24,P000056,264.51,6070.61
D001,2025-11-06,P000057,104.82,1053.42
D001,2025-12-13,P000057,217.06,2931.91
D001,2026-01-03,P000057,115.81,2738.56
D001,2026-02-12,P000057,193.25,2451.9
D001,2026-04-18,P000057,161.17,1881.44
D001,2026-05-14,P000057,86.76,1811.65
D001,2026-06-14,P000057,157.41,1930.75
D001,2025-11-18,P000058,1073.43,20114.25
D001,2025-12-07,P000058,846.81,7542.47
D001,2026-02-17,P000058,871.12,15782.97
D001,2026-03-16,P000058,603.13,11911.38
D001,2026-04-07,P000058,216.72,5346.72
D001,2026-05-15,P000058,293.42,6630.62
D001,2026-06-07,P000058,1634.71,17489.33
D001,2025-11-10,P000059,583.78,7009.0
D001,2025-12-01,P000059,1936.61,16518.59
D001,2026-01-05,P000059,1422.84,13095.23
D001,2026-03-09,P000059,759.7,12084.29
D001,2026-04-03,P000059,445.62,10488.98
D001,2026-05-25,P000059,1427.79,15321.02
D001,2026-06-15,P000059,511.93,9605.17
D001,2025-11-06,P000060,274.51,6185.73
D001,2025-12-09,P000060,197.23,3574.56
D001,2026-01-07,P000060,550.07,7703.33
D001,2026-02-08,P000060,209.17,4030.72
D001,2026-03-21,P000060,356.17,5510.95
D001,2026-04-22,P000060,322.14,6420.9
D001,2026-05-11,P000060,612.0,7022.17
D001,2026-06-24,P000060,348.17,4509.36
D001,2025-11-14,P000061,409.43,9675.27
D001,2025-12-09,P000061,483.59,9044.02
D001,2026-01-18,P000061,901.81,12152.66
D001,2026-02-23,P000061,922.07,7493.47
D001,2026-03-23,P000061,531.28,9804.75
D001,2026-04-16,P000061,812.73,9128.3
D001,2026-05-24,P000061,1083.17,11441.12
D001,2026-06-05,P000061,768.06,9353.69
D001,2025-11-27,P000062,120.18,2964.11
D001,2025-12-21,P000062,186.14,3256.55
D001,2026-01-04,P000062,137.82,2389.53
D001,2026-02-16,P000062,150.68,1347.6
D001,2026-03-05,P000062,217.85,2279.45
D001,2026-05-11,P000062,300.77,4234.05
D001,2026-06-08,P000062,244.67,3386.72
D001,2025-11-11,P000063,145.03,1710.82
D001,2025-12-14,P000063,67.73,1367.78
D001,2026-01-10,P000063,200.37,3022.32
D001,2026-03-02,P000063,259.7,3915.65
D001,2026-05-23,P000063,198.92,4157.61
D001,2026-06-10,P000063,38.58,672.98
D001,2025-11-07,P000064,253.24,5736.19
D001,2025-12-16,P000064,281.78,5197.41
D001,2026-01-23,P000064,258.35,2790.13
D001,2026-02-08,P000064,382.85,4180.66
D001,2026-03-03,P000064,201.23,4812.08
D001,2026-05-04,P000064,493.99,4403.51
D001,2026-06-03,P000064,271.96,3594.29
D001,2025-11-12,P000065,294.78,4560.55
D001,2025-12-05,P000065,195.25,4803.46
D001,2026-01-09,P000065,163.51,2636.11
D001,2026-03-24,P000065,542.75,4710.01
D001,2026-04-07,P000065,155.88,2738.85
D001,2026-05-09,P000065,415.14,5658.38
D001,2025-12-23,P000066,514.98,4889.91
D001,2026-01-10,P000066,538.77,4885.03
D001,2026-02-01,P000066,139.13,2189.82
D001,2026-03-14,P000066,82.51,1977.96
D001,2026-04-04,P000066,213.11,4362.27
D001,2026-05-24,P000066,547.34,5533.94
D001,2026-06-09,P000066,176.16,3916.48
D001,2025-11-17,P000067,484.21,5455.08
D001,2025-12-01,P000067,196.52,3770.06
D001,2026-01-10,P000067,213.22,4148.44
D001,2026-03-02,P000067,161.21,3742.32
D001,2026-04-21,P000067,265.66,5203.49
D001,2026-05-04,P000067,164.72,4045.89
D001,2026-06-06,P000067,270.69,5632.09
D001,2025-11-15,P000068,1424.78,22520.05
D001,2025-12-10,P000068,3286.1,29198.68
D001,2026-01-26,P000068,1279.56,20050.94
D001,2026-02-09,P000068,1942.34,45619.33
D001,2026-03-11,P000068,3278.76,28340.67
D001,2026-04-10,P000068,3849.96,37499.7
D001,2026-05-16,P000068,1291.7,20885.14
D001,2026-06-10,P000068,3367.9,27197.93
D001,2025-11-06,P000069,380.37,5667.98
D001,2025-12-20,P000069,306.27,5714.29
D001,2026-01-05,P000069,410.6,7227.44
D001,2026-02-25,P000069,366.81,4842.25
D001,2026-03-08,P000069,332.7,5542.58
D001,2026-04-03,P000069,404.17,8880.39
D001,2026-05-13,P000069,290.64,6297.74
D001,2026-06-10,P000069,338.45,6171.71
D001,2025-11-12,P000070,1272.7,22840.01
D001,2025-12-07,P000070,1329.73,18967.24
D001,2026-01-02,P000070,421.42,9940.46
D001,2026-02-17,P000070,676.82,15485.07
D001,2026-04-23,P000070,1141.96,20343.81
D001,2026-05-21,P000070,723.94,14792.8
D001,2026-06-26,P000070,507.16,7319.58
D001,2025-11-24,P000071,347.77,6062.34
D001,2025-12-09,P000071,246.97,3858.13
D001,2026-02-08,P000071,312.4,5598.05
D001,2026-03-27,P000071,567.3,5431.03
D001,2026-04-15,P000071,135.22,2750.48
D001,2026-05-10,P000071,226.31,5652.84
D001,2026-06-11,P000071,304.65,3896.53
D001,2025-11-12,P000072,1828.24,25349.44
D001,2025-12-01,P000072,1199.02,28303.01
D001,2026-01-11,P000072,1673.8,31435.82
D001,2026-03-25,P000072,2185.37,22921.53
D001,2026-05-17,P000072,589.13,12383.19
D001,2026-06-11,P000072,1599.86,17172.97
D002,2025-11-10,P000073,452.59,10002.45
D002,2025-12-17,P000073,1079.29,9411.16
D002,2026-01-24,P000073,1540.06,14137.86
D002,2026-02-21,P000073,871.45,16840.79
D002,2026-04-06,P000073,576.28,10987.34
D002,2025-11-12,P000074,3281.49,71944.56
D002,2025-12-18,P000074,2106.29,49083.26
D002,2026-03-01,P000074,2497.3,55139.99
D002,2026-04-09,P000074,4844.45,87949.5
D002,2026-05-20,P000074,2662.73,32873.2
D002,2026-06-20,P000074,5489.69,64366.47
D002,2025-11-02,P000075,579.58,6981.46
D002,2025-12-22,P000075,898.07,14139.29
D002,2026-02-01,P000075,437.4,10774.08
D002,2026-03-13,P000075,647.1,8611.0
D002,2026-04-14,P000075,1041.79,9057.56
D002,2026-05-19,P000075,1099.59,11535.95
D002,2026-06-05,P000075,1262.86,17716.79
D002,2025-11-05,P000076,311.18,6587.58
D002,2025-12-09,P000076,228.71,4657.58
D002,2026-01-13,P000076,420.33,4418.45
D002,2026-02-21,P000076,381.86,6232.04
D002,2026-03-22,P000076,377.73,7170.08
D002,2026-05-01,P000076,430.31,7838.89
D002,2026-06-10,P000076,412.28,6290.44
D002,2025-11-02,P000077,314.29,3605.33
D002,2025-12-26,P000077,232.62,5071.5
D002,2026-01-13,P000077,293.95,7151.53
D002,2026-02-08,P000077,161.7,2770.84
D002,2026-03-14,P000077,289.62,5145.31
D002,2026-04-21,P000077,347.87,5919.56
D002,2026-05-04,P000077,508.22,5723.91
D002,2026-06-02,P000077,355.52,3486.17
D002,2025-11-13,P000078,320.43,6900.37
D002,2025-12-04,P000078,108.38,2032.5
D002,2026-01-25,P000078,287.74,3318.05
D002,2026-02-19,P000078,273.12,4278.81
D002,2026-03-11,P000078,483.88,3873.64
D002,2026-04-10,P000078,215.31,5062.75
D002,2026-06-14,P000078,259.4,5364.43
D002,2025-11-09,P000079,2647.84,59913.53
D002,2025-12-07,P000079,8337.63,110110.13
D002,2026-01-01,P000079,3509.86,58320.06
D002,2026-02-15,P000079,3124.65,71470.9
D002,2026-03-10,P000079,3106.29,66354.81
D002,2026-04-03,P000079,3349.96,57392.1
D002,2026-05-13,P000079,3907.05,96421.66
D002,2026-06-17,P000079,4937.61,51721.02
D002,2025-11-16,P000080,154.99,3014.49
D002,2025-12-04,P000080,334.96,4424.17
D002,2026-02-06,P000080,78.77,1756.93
D002,2026-03-11,P000080,204.19,4548.07
D002,2026-04-21,P000080,351.74,5022.77
D002,2026-05-01,P000080,145.03,2515.36
D002,2026-06-17,P000080,242.13,3130.98
D002,2025-11-24,P000081,1060.42,16681.96
D002,2025-12-08,P000081,1644.56,18079.75
D002,2026-01-16,P000081,1059.07,13923.38
D002,2026-02-09,P000081,609.7,14511.23
D002,2026-03-25,P000081,703.72,7719.53
D002,2026-04-26,P000081,950.27,10124.94
D002,2026-05-22,P000081,1309.44,13770.86
D002,2026-06-01,P000081,625.5,8470.37
D002,2025-12-13,P000082,830.15,17255.72
D002,2026-01-19,P000082,1547.3,31237.31
D002,2026-02-02,P000082,1299.83,22964.29
D002,2026-03-08,P000082,3011.14,45933.19
D002,2026-04-25,P000082,4753.58,38791.16
D002,2026-05-16,P000082,1563.61,23506.23
D002,2026-06-12,P000082,2814.21,47948.96
D002,2025-12-02,P000083,3198.94,28721.54
D002,2026-01-17,P000083,1191.57,23895.52
D002,2026-02-02,P000083,2045.41,39024.42
D002,2026-03-03,P000083,2989.38,46298.52
D002,2026-04-23,P000083,1650.28,25627.94
D002,2026-05-26,P000083,1626.65,30007.8
D002,2026-06-01,P000083,1904.61,40127.19
D002,2025-11-27,P000084,2072.76,22916.73
D002,2025-12-12,P000084,654.15,12669.42
D002,2026-01-05,P000084,1529.87,13490.13
D002,2026-02-16,P000084,995.72,21235.81
D002,2026-03-27,P000084,1079.24,10124.93
D002,2026-04-12,P000084,1237.17,19254.42
D002,2026-05-26,P000084,1026.61,13252.1
D002,2025-11-06,P000085,1141.65,17256.12
D002,2025-12-02,P000085,2728.8,27863.23
D002,2026-01-06,P000085,1274.33,29516.07
D002,2026-02-16,P000085,1059.0,19547.22
D002,2026-03-24,P000085,1134.77,19030.23
D002,2026-05-11,P000085,917.33,19103.74
D002,2025-11-10,P000086,156.32,2368.14
D002,2025-12-27,P000086,349.89,3960.61
D002,2026-02-21,P000086,227.84,3892.66
D002,2026-04-16,P000086,376.94,3809.39
D002,2026-06-25,P000086,404.9,3908.32
