pos_code,distributor_id,segment
P000111,D002,LARGE_SUPERMARKET
P000112,D002,SMALL_SUPERMARKET
P000113,D002,TRADITIONAL
P000114,D002,LARGE_SUPERMARKET
P000115,D002,CASH_AND_CARRY
P000116,D002,TRADITIONAL
P000117,D002,TRADITIONAL
P000118,D002,SMALL_SUPERMARKET
P000119,D002,TRADITIONAL
P000120,D002,TRADITIONAL
P000121,D002,TRADITIONAL
P000122,D002,LARGE_SUPERMARKET
P000123,D002,SMALL_SUPERMARKET
P000124,D002,HYPERMARKET
P000125,D002,TRADITIONAL
P000126,D002,SMALL_SUPERMARKET
P000127,D002,LARGE_SUPERMARKET
P000128,D002,LARGE_SUPERMARKET
P000129,D002,TRADITIONAL
P000130,D002,LARGE_SUPERMARKET
P000131,D002,PHARMACY
P000132,D002,TRADITIONAL
P000133,D002,SMALL_SUPERMARKET
P000134,D002,TRADITIONAL
P000135,D002,HYPERMARKET
P000136,D002,PHARMACY
P000137,D002,TRADITIONAL
P000138,D002,WHOLESALE
P000139,D002,LARGE_SUPERMARKET
P000140,D002,TRADITIONAL
P000141,D002,TRADITIONAL
P000142,D002,PHARMACY
P000143,D002,TRADITIONAL
P000144,D002,SMALL_SUPERMARKET
P000145,D002,SMALL_SUPERMARKET
P000146,D002,SMALL_SUPERMARKET
P000147,D002,TRADITIONAL
P000148,D002,SMALL_SUPERMARKET
P000149,D002,HYPERMARKET
P000150,D002,WHOLESALE
P000151,D002,CASH_AND_CARRY
P000152,D002,LARGE_SUPERMARKET
P000153,D002,TRADITIONAL
P000154,D002,LARGE_SUPERMARKET
P000155,D002,TRADITIONAL
P000156,D002,SMALL_SUPERMARKET
P000157,D002,TRADITIONAL
P000158,D002,TRADITIONAL
P000159,D002,TRADITIONAL
P000160,D002,LARGE_SUPERMARKET
P000161,D002,PHARMACY
P000162,D002,SMALL_SUPERMARKET
P000163,D002,HYPERMARKET
P000164,D002,TRADITIONAL
P000165,D002,SMALL_SUPERMARKET
P000166,D002,WHOLESALE
P000167,D002,WHOLESALE
P000168,D002,SMALL_SUPERMARKET
P000169,D002,PHARMACY
P000170,D002,SMALL_SUPERMARKET
P000171,D002,TRADITIONAL
P000172,D002,SMALL_SUPERMARKET
P000173,D002,PHARMACY
P000174,D002,LARGE_SUPERMARKET
P000175,D002,HYPERMARKET
P000176,D002,SMALL_SUPERMARKET
P000177,D002,PHARMACY
P000178,D002,CASH_AND_CARRY
P000179,D002,TRADITIONAL
P000180,D002,CASH_AND_CARRY
P000181,D002,CASH_AND_CARRY
P000182,D002,TRADITIONAL
P000183,D002,SMALL_SUPERMARKET
P000184,D002,TRADITIONAL
P000185,D002,TRADITIONAL
P000186,D002,SMALL_SUPERMARKET
P000187,D002,LARGE_SUPERMARKET
P000188,D002,TRADITIONAL
P000189,D002,SMALL_SUPERMARKET
P000190,D002,PHARMACY
P000191,D002,SMALL_SUPERMARKET
P000192,D002,LARGE_SUPERMARKET
P000193,D002,WHOLESALE
P000194,D002,LARGE_SUPERMARKET
P000195,D002,LARGE_SUPERMARKET
P000196,D002,TRADITIONAL
P000197,D002,CASH_AND_CARRY
P000198,D002,LARGE_SUPERMARKET
P000199,D002,SMALL_SUPERMARKET
P000200,D002,TRADITIONAL
P000201,D002,PHARMACY
P000202,D002,TRADITIONAL
P000203,D002,LARGE_SUPERMARKET
P000204,D002,HYPERMARKET
P000205,D002,LARGE_SUPERMARKET
P000206,D002,LARGE_SUPERMARKET
P000207,D002,TRADITIONAL
P000208,D002,LARGE_SUPERMARKET
P000209,D002,TRADITIONAL
P000210,D002,TRADITIONAL
P000211,D002,TRADITIONAL
P000212,D002,LARGE_SUPERMARKET
P000213,D002,WHOLESALE
P000214,D002,TRADITIONAL
P000215,D002,TRADITIONAL
P000216,D002,LARGE_SUPERMARKET
P000217,D002,LARGE_SUPERMARKET
P000218,D002,PHARMACY
P000219,D002,SMALL_SUPERMARKET
P000220,D002,SMALL_SUPERMARKET
P000221,D002,TRADITIONAL
P000222,D002,TRADITIONAL
P000223,D002,PHARMACY
P000224,D002,SMALL_SUPERMARKET
P000225,D002,PHARMACY
P000226,D002,HYPERMARKET
P000227,D002,TRADITIONAL
P000228,D002,TRADITIONAL
P000229,D002,LARGE_SUPERMARKET
P000230,D002,LARGE_SUPERMARKET
P000231,D002,SMALL_SUPERMARKET
P000232,D002,PHARMACY
P000233,D002,TRADITIONAL
P000234,D002,PHARMACY
P000235,D002,WHOLESALE
P000236,D002,SMALL_SUPERMARKET
P000237,D002,WHOLESALE
P000238,D002,HYPERMARKET
P000239,D002,LARGE_SUPERMARKET
P000240,D002,WHOLESALE
P000241,D002,WHOLESALE
P000242,D002,SMALL_SUPERMARKET
P000243,D002,TRADITIONAL
P000244,D002,TRADITIONAL
P000245,D002,CASH_AND_CARRY
P000246,D002,TRADITIONAL
P000247,D002,SMALL_SUPERMARKET
P000248,D002,SMALL_SUPERMARKET
P000249,D002,SMALL_SUPERMARKET
P000250,D002,TRADITIONAL
P000251,D002,CASH_AND_CARRY
P000252,D002,SMALL_SUPERMARKET
P000253,D002,SMALL_SUPERMARKET
P000254,D002,SMALL_SUPERMARKET
P000255,D002,TRADITIONAL
P000256,D002,WHOLESALE
P000257,D002,LARGE_SUPERMARKET
P000258,D002,HYPERMARKET
P000259,D002,TRADITIONAL
P000260,D002,LARGE_SUPERMARKET
P000261,D002,WHOLESALE
P000262,D002,SMALL_SUPERMARKET
P000263,D002,LARGE_SUPERMARKET
P000264,D002,PHARMACY
P000265,D002,LARGE_SUPERMARKET
P000266,D002,SMALL_SUPERMARKET
P000267,D002,LARGE_SUPERMARKET
P000268,D002,LARGE_SUPERMARKET
P000269,D002,HYPERMARKET
P000270,D002,HYPERMARKET
P000271,D002,LARGE_SUPERMARKET
P000272,D002,HYPERMARKET
P000273,D002,TRADITIONAL
P000274,D002,TRADITIONAL
P000275,D002,SMALL_SUPERMARKET
P000276,D002,SMALL_SUPERMARKET
P000277,D002,TRADITIONAL
P000278,D002,CASH_AND_CARRY
P000279,D002,CASH_AND_CARRY
P000280,D002,HYPERMARKET
P000281,D002,LARGE_SUPERMARKET
P000282,D002,SMALL_SUPERMARKET
P000283,D002,SMALL_SUPERMARKET
P000284,D002,TRADITIONAL
P000285,D002,SMALL_SUPERMARKET
P000286,D002,HYPERMARKET
P000287,D002,SMALL_SUPERMARKET
P000288,D002,TRADITIONAL
P000289,D002,LARGE_SUPERMARKET
P000290,D002,WHOLESALE
P000291,D002,HYPERMARKET
P000292,D002,PHARMACY
P000293,D002,LARGE_SUPERMARKET
P000294,D002,WHOLESALE
P000295,D002,PHARMACY
P000296,D002,PHARMACY
P000297,D002,WHOLESALE
P000298,D002,TRADITIONAL
P000299,D002,TRADITIONAL
P000300,D002,TRADITIONAL
P000301,D002,LARGE_SUPERMARKET
P000302,D002,TRADITIONAL
P000303,D002,TRADITIONAL
P000304,D002,CASH_AND_CARRY
P000305,D002,SMALL_SUPERMARKET
P000306,D002,SMALL_SUPERMARKET
P000307,D002,TRADITIONAL
P000308,D002,SMALL_SUPERMARKET
P000309,D002,LARGE_SUPERMARKET
P000310,D002,SMALL_SUPERMARKET
P000311,D002,SMALL_SUPERMARKET
P000312,D002,SMALL_SUPERMARKET
P000313,D002,SMALL_SUPERMARKET
P000314,D002,SMALL_SUPERMARKET
P000315,D002,SMALL_SUPERMARKET
P000316,D002,SMALL_SUPERMARKET
P000317,D002,TRADITIONAL
P000318,D002,SMALL_SUPERMARKET
P000319,D002,PHARMACY
P000320,D002,PHARMACY
P000321,D002,TRADITIONAL
P000322,D002,SMALL_SUPERMARKET
P000323,D002,TRADITIONAL
P000324,D002,WHOLESALE
P000325,D002,TRADITIONAL
P000326,D002,WHOLESALE
P000327,D002,TRADITIONAL
P000328,D002,TRADITIONAL
P000329,D002,SMALL_SUPERMARKET
P000330,D002,TRADITIONAL
P000331,D002,LARGE_SUPERMARKET
P000332,D002,TRADITIONAL
P000333,D002,CASH_AND_CARRY
P000334,D002,LARGE_SUPERMARKET
P000335,D002,TRADITIONAL
P000336,D002,LARGE_SUPERMARKET
P000337,D002,TRADITIONAL
P000338,D002,LARGE_SUPERMARKET
P000339,D002,PHARMACY
P000340,D002,LARGE_SUPERMARKET
P000341,D002,PHARMACY
P000342,D002,WHOLESALE
P000343,D002,TRADITIONAL
P000344,D002,WHOLESALE
P000345,D002,WHOLESALE
P000346,D002,PHARMACY
P000347,D002,SMALL_SUPERMARKET
P000348,D002,TRADITIONAL
P000349,D002,LARGE_SUPERMARKET
P000350,D002,TRADITIONAL
P000351,D002,LARGE_SUPERMARKET
P000352,D002,TRADITIONAL
P000353,D002,TRADITIONAL
P000354,D002,SMALL_SUPERMARKET
P000355,D002,TRADITIONAL
P000356,D002,TRADITIONAL
P000357,D002,WHOLESALE
P000358,D002,TRADITIONAL
P000359,D002,TRADITIONAL
P000360,D002,PHARMACY
P000361,D002,LARGE_SUPERMARKET
P000362,D002,LARGE_SUPERMARKET
P000363,D002,LARGE_SUPERMARKET
P000364,D002,TRADITIONAL
P000365,D002,SMALL_SUPERMARKET
P000366,D002,TRADITIONAL
P000367,D002,TRADITIONAL
P000368,D002,SMALL_SUPERMARKET
P000369,D002,CASH_AND_CARRY
P000370,D002,TRADITIONAL
P000371,D002,SMALL_SUPERMARKET
P000372,D002,SMALL_SUPERMARKET
P000373,D002,SMALL_SUPERMARKET
P000374,D002,LARGE_SUPERMARKET
P000375,D002,LARGE_SUPERMARKET
P000376,D002,PHARMACY
P000377,D002,SMALL_SUPERMARKET
P000378,D002,SMALL_SUPERMARKET
P000379,D002,TRADITIONAL
P000380,D002,TRADITIONAL
P000381,D002,PHARMACY
P000382,D002,WHOLESALE
P000383,D002,SMALL_SUPERMARKET
P000384,D002,SMALL_SUPERMARKET
P000385,D002,PHARMACY
P000386,D002,TRADITIONAL
P000387,D002,PHARMACY
P000388,D002,LARGE_SUPERMARKET
P000389,D002,CASH_AND_CARRY
P000390,D002,TRADITIONAL
P000391,D003,TRADITIONAL
P000392,D003,TRADITIONAL
P000393,D003,HYPERMARKET
P000394,D003,SMALL_SUPERMARKET
P000395,D003,WHOLESALE
P000396,D003,SMALL_SUPERMARKET
P000397,D003,SMALL_SUPERMARKET
P000398,D003,SMALL_SUPERMARKET
P000399,D003,SMALL_SUPERMARKET
P000400,D003,PHARMACY
P000401,D003,WHOLESALE
P000402,D003,LARGE_SUPERMARKET
P000403,D003,PHARMACY
P000404,D003,CASH_AND_CARRY
P000405,D003,SMALL_SUPERMARKET
P000406,D003,WHOLESALE
P000407,D003,LARGE_SUPERMARKET
P000408,D003,PHARMACY
P000409,D003,TRADITIONAL
P000410,D003,TRADITIONAL
P000411,D003,LARGE_SUPERMARKET
P000412,D003,CASH_AND_CARRY
P000413,D003,HYPERMARKET
P000414,D003,SMALL_SUPERMARKET
P000415,D003,LARGE_SUPERMARKET
P000416,D003,TRADITIONAL
P000417,D003,LARGE_SUPERMARKET
P000418,D003,PHARMACY
P000419,D003,TRADITIONAL
P000420,D003,HYPERMARKET
P000421,D003,HYPERMARKET
P000422,D003,HYPERMARKET
P000423,D003,TRADITIONAL
P000424,D003,WHOLESALE
P000425,D003,SMALL_SUPERMARKET
P000426,D003,WHOLESALE
P000427,D003,HYPERMARKET
P000428,D003,WHOLESALE
P000429,D003,PHARMACY
P000430,D003,TRADITIONAL
P000431,D003,TRADITIONAL
P000432,D003,WHOLESALE
P000433,D003,HYPERMARKET
P000434,D003,LARGE_SUPERMARKET
P000435,D003,LARGE_SUPERMARKET
P000436,D003,TRADITIONAL
P000437,D003,TRADITIONAL
P000438,D003,TRADITIONAL
P000439,D003,CASH_AND_CARRY
P000440,D003,LARGE_SUPERMARKET
P000441,D003,TRADITIONAL
P000442,D003,LARGE_SUPERMARKET
P000443,D003,SMALL_SUPERMARKET
P000444,D003,TRADITIONAL
P000445,D003,PHARMACY
P000446,D003,TRADITIONAL
P000447,D003,HYPERMARKET
P000448,D003,TRADITIONAL
P000449,D003,HYPERMARKET
P000450,D003,CASH_AND_CARRY
P000451,D003,TRADITIONAL
P000452,D003,LARGE_SUPERMARKET
P000453,D003,LARGE_SUPERMARKET
P000454,D003,LARGE_SUPERMARKET
P000455,D003,PHARMACY
P000456,D003,SMALL_SUPERMARKET
P000457,D003,WHOLESALE
P000458,D003,TRADITIONAL
P000459,D003,TRADITIONAL
P000460,D003,LARGE_SUPERMARKET
P000461,D003,PHARMACY
P000462,D003,SMALL_SUPERMARKET
P000463,D003,TRADITIONAL
P000464,D003,TRADITIONAL
P000465,D003,TRADITIONAL
P000466,D003,PHARMACY
P000467,D003,LARGE_SUPERMARKET
P000468,D003,TRADITIONAL
P000469,D003,SMALL_SUPERMARKET
P000470,D003,SMALL_SUPERMARKET
P000471,D003,LARGE_SUPERMARKET
P000472,D003,LARGE_SUPERMARKET
P000473,D003,SMALL_SUPERMARKET
P000474,D003,SMALL_SUPERMARKET
P000475,D004,SMALL_SUPERMARKET
P000476,D004,TRADITIONAL
P000477,D004,TRADITIONAL
P000478,D004,SMALL_SUPERMARKET
P000479,D004,SMALL_SUPERMARKET
P000480,D004,LARGE_SUPERMARKET
P000481,D004,TRADITIONAL
P000482,D004,SMALL_SUPERMARKET
P000483,D004,HYPERMARKET
P000484,D004,SMALL_SUPERMARKET
P000485,D004,SMALL_SUPERMARKET
P000486,D004,LARGE_SUPERMARKET
P000487,D004,TRADITIONAL
P000488,D004,TRADITIONAL
P000489,D004,TRADITIONAL
P000490,D004,TRADITIONAL
P000491,D004,TRADITIONAL
P000492,D004,SMALL_SUPERMARKET
P000493,D004,WHOLESALE
P000494,D004,TRADITIONAL
P000495,D004,SMALL_SUPERMARKET
P000496,D004,TRADITIONAL
P000497,D004,SMALL_SUPERMARKET
P000498,D004,TRADITIONAL
P000499,D004,TRADITIONAL
P000500,D004,CASH_AND_CARRY
P000501,D004,PHARMACY
P000502,D004,TRADITIONAL
P000503,D004,TRADITIONAL
P000504,D004,WHOLESALE
P000505,D004,SMALL_SUPERMARKET
P000506,D004,WHOLESALE
P000507,D004,TRADITIONAL
P000508,D004,LARGE_SUPERMARKET
P000509,D004,HYPERMARKET
P000510,D004,WHOLESALE
P000511,D004,HYPERMARKET
P000512,D004,SMALL_SUPERMARKET
P000513,D004,SMALL_SUPERMARKET
P000514,D004,LARGE_SUPERMARKET
P000515,D004,SMALL_SUPERMARKET
P000516,D004,TRADITIONAL
P000517,D004,HYPERMARKET
P000518,D004,WHOLESALE
P000519,D004,CASH_AND_CARRY
P000520,D004,SMALL_SUPERMARKET
P000521,D004,LARGE_SUPERMARKET
P000522,D004,TRADITIONAL
P000523,D004,LARGE_SUPERMARKET
P000524,D004,SMALL_SUPERMARKET
P000525,D004,PHARMACY
P000526,D004,PHARMACY
P000527,D004,TRADITIONAL
P000528,D004,SMALL_SUPERMARKET
P000529,D004,TRADITIONAL
P000530,D004,TRADITIONAL
P000531,D004,SMALL_SUPERMARKET
P000532,D004,TRADITIONAL
P000533,D004,HYPERMARKET
P000534,D004,LARGE_SUPERMARKET
P000535,D004,TRADITIONAL
P000536,D004,LARGE_SUPERMARKET
P000537,D004,LARGE_SUPERMARKET
P000538,D004,WHOLESALE
P000539,D004,PHARMACY
P000540,D004,TRADITIONAL
P000541,D004,WHOLESALE
P000542,D004,PHARMACY
P000543,D004,LARGE_SUPERMARKET
P000544,D004,SMALL_SUPERMARKET
P000545,D004,SMALL_SUPERMARKET
P000546,D004,LARGE_SUPERMARKET
P000547,D004,TRADITIONAL
P000548,D004,SMALL_SUPERMARKET
P000549,D004,SMALL_SUPERMARKET
P000550,D004,LARGE_SUPERMARKET
P000551,D004,LARGE_SUPERMARKET
P000552,D004,PHARMACY
P000553,D004,HYPERMARKET
P000554,D004,SMALL_SUPERMARKET
P000555,D004,SMALL_SUPERMARKET
P000556,D004,TRADITIONAL
P000557,D004,TRADITIONAL
P000558,D005,LARGE_SUPERMARKET
P000559,D005,SMALL_SUPERMARKET
P000560,D005,WHOLESALE
P000561,D005,TRADITIONAL
P000562,D005,TRADITIONAL
P000563,D005,TRADITIONAL
P000564,D005,TRADITIONAL
P000565,D005,HYPERMARKET
P000566,D005,SMALL_SUPERMARKET
P000567,D005,TRADITIONAL
P000568,D005,SMALL_SUPERMARKET
P000569,D005,WHOLESALE
P000570,D005,TRADITIONAL
P000571,D005,TRADITIONAL
P000572,D005,CASH_AND_CARRY
P000573,D005,TRADITIONAL
P000574,D005,PHARMACY
P000575,D005,TRADITIONAL
P000576,D005,CASH_AND_CARRY
P000577,D005,SMALL_SUPERMARKET
P000578,D005,TRADITIONAL
P000579,D005,TRADITIONAL
P000580,D005,LARGE_SUPERMARKET
P000581,D005,SMALL_SUPERMARKET
P000582,D005,PHARMACY
P000583,D005,TRADITIONAL
P000584,D005,LARGE_SUPERMARKET
P000585,D005,SMALL_SUPERMARKET
P000586,D005,LARGE_SUPERMARKET
P000587,D005,HYPERMARKET
P000588,D005,PHARMACY
P000589,D005,SMALL_SUPERMARKET
P000590,D005,SMALL_SUPERMARKET
P000591,D005,TRADITIONAL
P000592,D005,HYPERMARKET
P000593,D005,SMALL_SUPERMARKET
P000594,D005,TRADITIONAL
P000595,D005,TRADITIONAL
P000596,D005,PHARMACY
P000597,D005,TRADITIONAL
P000598,D005,SMALL_SUPERMARKET
P000599,D005,TRADITIONAL
P000600,D005,PHARMACY
P000601,D005,TRADITIONAL
P000602,D005,PHARMACY
P000603,D005,WHOLESALE
P000604,D005,CASH_AND_CARRY
P000605,D005,LARGE_SUPERMARKET
P000606,D005,TRADITIONAL
P000607,D005,SMALL_SUPERMARKET
P000608,D005,TRADITIONAL
P000609,D005,TRADITIONAL
P000610,D005,PHARMACY
P000611,D005,PHARMACY
P000612,D005,SMALL_SUPERMARKET
P000613,D005,TRADITIONAL
P000614,D005,TRADITIONAL
P000615,D005,SMALL_SUPERMARKET
P000616,D005,LARGE_SUPERMARKET
P000617,D005,HYPERMARKET
P000618,D005,TRADITIONAL
P000619,D005,TRADITIONAL
P000620,D005,PHARMACY
P000621,D005,SMALL_SUPERMARKET
P000622,D005,PHARMACY
P000623,D005,SMALL_SUPERMARKET
P000624,D005,WHOLESALE
P000625,D005,LARGE_SUPERMARKET
P000626,D005,TRADITIONAL
P000627,D005,WHOLESALE
P000628,D005,PHARMACY
P000629,D005,WHOLESALE
P000630,D005,HYPERMARKET
P000631,D005,SMALL_SUPERMARKET
P000632,D005,HYPERMARKET
P000633,D005,LARGE_SUPERMARKET
P000634,D005,TRADITIONAL
P000635,D005,TRADITIONAL
P000636,D005,TRADITIONAL
P000637,D005,CASH_AND_CARRY
P000638,D005,TRADITIONAL
P000639,D005,WHOLESALE
P000640,D005,HYPERMARKET
P000641,D005,SMALL_SUPERMARKET
P000642,D005,TRADITIONAL
P000643,D005,CASH_AND_CARRY
P000644,D005,HYPERMARKET
P000645,D005,TRADITIONAL
P000646,D005,TRADITIONAL
P000647,D005,HYPERMARKET
P000648,D005,SMALL_SUPERMARKET
P000649,D005,CASH_AND_CARRY
P000650,D005,TRADITIONAL
P000651,D005,SMALL_SUPERMARKET
P000652,D005,CASH_AND_CARRY
P000653,D005,SMALL_SUPERMARKET
P000654,D005,CASH_AND_CARRY
P000655,D005,SMALL_SUPERMARKET
P000656,D005,TRADITIONAL
P000657,D005,SMALL_SUPERMARKET
P000658,D005,SMALL_SUPERMARKET
P000659,D005,CASH_AND_CARRY
P000660,D005,LARGE_SUPERMARKET
P000661,D005,LARGE_SUPERMARKET
P000662,D005,SMALL_SUPERMARKET
P000663,D005,TRADITIONAL
P000664,D005,WHOLESALE
P000665,D005,PHARMACY
P000666,D005,SMALL_SUPERMARKET
P000667,D005,SMALL_SUPERMARKET
P000668,D005,LARGE_SUPERMARKET
P000669,D005,TRADITIONAL
P000670,D005,PHARMACY
P000671,D005,TRADITIONAL
P000672,D005,TRADITIONAL
P000673,D005,SMALL_SUPERMARKET
P000674,D005,PHARMACY
P000675,D005,TRADITIONAL
P000676,D005,LARGE_SUPERMARKET
P000677,D005,SMALL_SUPERMARKET
P000678,D005,HYPERMARKET
P000679,D005,LARGE_SUPERMARKET
P000680,D005,HYPERMARKET
P000681,D005,SMALL_SUPERMARKET
P000682,D005,TRADITIONAL
P000683,D005,SMALL_SUPERMARKET
P000684,D005,SMALL_SUPERMARKET
P000685,D005,PHARMACY
P000686,D005,TRADITIONAL
P000687,D005,TRADITIONAL
P000688,D005,SMALL_SUPERMARKET
P000689,D005,CASH_AND_CARRY
P000690,D005,SMALL_SUPERMARKET
P000691,D005,SMALL_SUPERMARKET
P000692,D005,PHARMACY
P000693,D005,TRADITIONAL
P000694,D005,TRADITIONAL
P000695,D005,TRADITIONAL
P000696,D005,TRADITIONAL
P000697,D005,SMALL_SUPERMARKET
P000698,D005,SMALL_SUPERMARKET
P000699,D005,SMALL_SUPERMARKET
P000700,D005,LARGE_SUPERMARKET
P000701,D005,CASH_AND_CARRY
P000702,D005,SMALL_SUPERMARKET
P000703,D005,TRADITIONAL
P000704,D005,WHOLESALE
P000705,D005,WHOLESALE
P000706,D005,SMALL_SUPERMARKET
P000707,D005,SMALL_SUPERMARKET
P000708,D005,PHARMACY
P000709,D005,TRADITIONAL
P000710,D005,WHOLESALE
P000711,D005,PHARMACY
P000712,D005,WHOLESALE
P000713,D005,LARGE_SUPERMARKET
P000714,D005,TRADITIONAL
P000715,D005,LARGE_SUPERMARKET
P000716,D005,TRADITIONAL
P000717,D005,PHARMACY
P000718,D005,TRADITIONAL
P000719,D005,SMALL_SUPERMARKET
P000720,D005,HYPERMARKET
P000721,D005,PHARMACY
P000722,D005,LARGE_SUPERMARKET
P000723,D005,HYPERMARKET
P000724,D005,SMALL_SUPERMARKET
P000725,D005,HYPERMARKET
P000726,D005,SMALL_SUPERMARKET
P000727,D005,TRADITIONAL
P000728,D005,SMALL_SUPERMARKET
P000729,D005,HYPERMARKET
P000730,D005,LARGE_SUPERMARKET
P000731,D005,SMALL_SUPERMARKET
P000732,D005,HYPERMARKET
P000733,D005,TRADITIONAL
P000734,D005,LARGE_SUPERMARKET
P000735,D005,SMALL_SUPERMARKET
P000736,D005,SMALL_SUPERMARKET
P000737,D005,SMALL_SUPERMARKET
P000738,D005,HYPERMARKET
P000739,D005,LARGE_SUPERMARKET
P000740,D005,CASH_AND_CARRY
P000741,D005,HYPERMARKET
P000742,D005,TRADITIONAL
P000743,D005,TRADITIONAL
P000744,D005,SMALL_SUPERMARKET
P000745,D005,SMALL_SUPERMARKET
P000746,D005,WHOLESALE
P000747,D005,WHOLESALE
P000748,D005,SMALL_SUPERMARKET
P000749,D005,SMALL_SUPERMARKET
P000750,D005,SMALL_SUPERMARKET
P000751,D005,SMALL_SUPERMARKET
P000752,D005,TRADITIONAL
P000753,D005,LARGE_SUPERMARKET
P000754,D005,SMALL_SUPERMARKET
P000755,D005,PHARMACY
P000756,D005,HYPERMARKET
P000757,D005,SMALL_SUPERMARKET
P000758,D005,TRADITIONAL
P000759,D005,LARGE_SUPERMARKET
P000760,D005,HYPERMARKET
P000761,D005,LARGE_SUPERMARKET
P000762,D005,PHARMACY
P000763,D005,HYPERMARKET
P000764,D005,LARGE_SUPERMARKET
P000765,D005,HYPERMARKET
P000766,D005,LARGE_SUPERMARKET
P000767,D005,TRADITIONAL
P000768,D005,SMALL_SUPERMARKET
P000769,D005,TRADITIONAL
P000770,D005,TRADITIONAL
P000771,D005,WHOLESALE
P000772,D005,HYPERMARKET
P000773,D005,CASH_AND_CARRY
P000774,D005,TRADITIONAL
P000775,D005,LARGE_SUPERMARKET
P000776,D005,TRADITIONAL
P000777,D005,CASH_AND_CARRY
P000778,D005,SMALL_SUPERMARKET
P000779,D005,PHARMACY
